Cl. Ord.ID,Instrument,Side,Quantity,Price
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
aa13,Rose,1,100,55.00
aa17,Tulip,1,100,55.00
aa14,Rose,1,100,65.00
aa17,Orchid,1,100,55.00
aa18,Tulip,1,100,65.00
aa19,Tulip,2,300,1.00
aa18,Orchid,1,100,55.00
aa20,Lavender,2,100,55.00
aa19,Orchid,2,300,1.00
aa21,Lavender,2,100,45.00
aa22,Lavender,1,200,45.00
aa23,Lotus,2,100,55.00
aa24,Lotus,2,100,45.00
aa15,Rose,2,300,1.00
aa25,Lotus,1,100,45.00
aa16,Rose,1,100,2.00
aa26,Rose,2,100,55.00
aa27,Rose,2,100,45.00
aa28,Rose,1,100,35.00
aa29,,1,100,55,
aa30,Rose,3,100,65.00
aa31,Lavender,2,101,1.00
aa32,Tulip,1,100,-1.00
aa33,Orchid,1,1000,-1.00
